event_id,event_year,countries,dfo_main_cause,dfo_severity,start_date,end_date,label,lon,lat,rainfall_mm,ndvi,lulc_igbp,elevation,slope,curvature_profile,twi,drainage_density,dist_to_water
,,,,,,,0,110.07843202190102,-7.385274529567616,3492.1085567474365,0.4529321,10,3184,26.116169,-0.016800276266622432,5.352445164529342,0.0,1390228.5000315595
,,,,,,,0,110.00432101096116,-7.290951424735066,2966.8513798713684,,8,2343,27.691217,0.01349530961302377,7.295334156086022,0.0,674.1661516273269
,,,,,,,0,110.15703460926147,-7.180907802430426,2650.561814069748,0.57615316,2,660,8.118205,-0.008196500750234427,6.584069533555861,0.0,624.2595614005444
,,,,,,,0,109.75953009603859,-7.421207140932397,2870.951673448086,,2,738,14.586912,0.0030568869112005755,7.878423534398458,0.0,349.85711369071805
,,,,,,,0,110.05148256337743,-7.481843422610465,2718.852756500244,0.71222705,2,900,9.774736,-0.004618665490867572,5.990329571124985,0.0,624.2595614005444
,,,,,,,0,106.37512726311829,-6.392636140615545,2254.8333212137222,,14,65,0.46373534,1.1294719909454304E-5,14.05535146481778,0.0,300.0
,,,,,,,0,106.9298369510621,-6.513908703971681,2716.9886236190796,,13,279,2.9081814,-6.938183371730882E-4,7.771074248558523,0.0,30.0
,,,,,,,0,108.17400361956763,-7.1966283199025165,2507.0637570917606,,13,517,1.9308789,6.90527773091106E-5,8.02545847277786,0.0,30.0
,,,,,,,0,108.44574399301379,-7.223577778426103,2505.1625411212444,,8,321,3.1220448,0.0013239055871240993,13.164994204689952,0.0,450.99889135118724
,,,,,,,0,109.13744676178582,-7.304426153996859,3126.312219724059,,2,1366,16.937044,-0.0010698315547695114,7.4985451743171865,0.0,445.9820624195552
,,,,,,,0,109.51698496932632,-7.531250763237039,2850.0669464096427,,8,208,4.197839,-0.0017258063157319745,8.16295809819084,0.0,127.27922061357854
,,,,,,,0,110.07843202190102,-7.594132833125405,2428.9509892463684,0.7725674,2,350,6.4438577,2.2079216975768023E-4,6.411424663350461,0.0,120.0
,,,,,,,0,110.5028859936475,-7.457139752297178,2408.737309843302,0.7554241,8,1008,4.8072457,2.1419952110019418E-4,12.29781381674594,0.0,787.4642849044013
,,,,,,,0,111.77624790888692,-7.486334999031063,2070.062872171402,,9,265,4.5154634,0.0029435407774455985,9.986740100473398,0.0,582.494635168428
,,,,,,,0,111.73582372110154,-7.731125913953632,2009.7406554222107,,9,751,8.082559,-2.2957084063642466E-4,8.26014198566601,0.0,1390228.5000315595
,,,,,,,0,112.50388328902373,-7.9265094882496285,2284.3174455165863,0.62969935,2,1473,8.483222,0.00769910802277112,6.1330995214163195,0.0,1390228.5000315595
,,,,,,,0,113.05410140054694,-7.973671040665903,2400.1415390968323,0.7477954,9,1669,2.8647556,0.00110654645353137,7.7829679897417465,0.0,1390228.5000315595
,,,,,,,0,113.66046421732761,-8.041044686974868,2417.346510887146,0.8287113,2,961,26.214128,0.009199744465270535,5.165262065720276,0.0,1390228.5000315595
,,,,,,,0,113.88055146193689,-8.211724590957576,2076.902758151293,0.80810964,2,381,6.912299,0.001878580285810905,8.417164035555183,0.0,1390228.5000315595
,,,,,,,0,113.2966465272592,-7.939984217511421,2020.6639738082886,0.8710066,2,335,2.7821746,4.0729061003108927E-4,8.756543440666986,0.0,335.4101966249685
,,,,,,,0,114.8192909338418,-8.288081390107736,1913.622361421585,0.480504,2,963,17.702812,-0.0025665915863015043,5.373855379601151,0.0,1390228.5000315595
,,,,,,,0,115.25946542306036,-8.332997154313711,1813.9502384662628,,2,824,8.168802,-0.002048007998347414,9.125869520569289,0.0,1390228.5000315595
,,,,,,,0,115.51323949082412,-8.380158706729986,1847.8331162929535,,8,1156,12.8817835,-7.330399055957089E-4,8.520997651636655,0.0,366.1966684720111
,,,,,,,0,116.34642691684498,-8.528380728609708,1732.0454533696175,,2,643,3.2711043,-5.416983095455503E-4,8.698272085104316,0.0,540.8326913195983
,,,,,,,0,111.15416457463415,-7.6188365034386925,3509.111635684967,,2,1685,14.360372,-0.0010876642152491496,7.639526022283332,0.0,403.6087214122113
,,,,,,,0,110.76339742604216,-7.49082657545166,2044.307194530964,0.5855639,14,128,0.41911715,-9.832216288087905E-6,9.552494181904255,0.0,127.27922061357854
,,,,,,,0,110.62415855700362,-7.488580787241362,2194.693037033081,0.5267649,14,353,2.3630502,-2.408462734103872E-4,8.228054929033668,0.0,1390228.5000315595
,,,,,,,0,110.41979182986644,-7.668243844065266,1962.2609506696463,0.5862681,13,411,2.5729,5.8833168740033994E-5,9.203169513139198,0.0,108.16653826391968
,,,,,,,0,109.5327054867984,-7.3493419182028354,3266.0389438271523,,8,262,5.152478,-5.022008477018123E-4,7.041848315524761,0.0,300.0
,,,,,,,0,108.02802738589821,-7.297688789365963,2745.6571220457554,,2,722,4.609274,0.001479992517130823,6.971651465848833,0.0,324.4996147917591
,,,,,,,0,106.86920066938403,-6.828319053413513,3057.8552600533585,,2,843,13.912616,-0.004004053273565866,7.331472304799054,0.0,1390228.5000315595
,,,,,,,0,106.41779723911397,-6.671113878692597,3385.382196211518,,2,1404,6.2123938,-0.008254409616270967,6.450218964710822,0.0,590.9314681077662
,,,,,,,0,106.26283785260335,-6.504925551130485,2715.5917316675186,,8,118,2.385687,3.987742155136009E-4,9.424361378620057,0.0,436.80659335683106
,,,,,,,0,109.27443984261404,-7.275230907262975,3214.4289058744907,,2,936,8.667569,0.00403842359020817,9.748266575740779,0.0,1390228.5000315595
