pt_id,ndvi,rainfall_mm,dist_to_water,elevation,slope,curvature_profile,twi,drainage_density,lulc_dw,label,year
1,0.6989124417304993,3208.081192970276,720.0,21,1.02670156955719,-4.6272194103299183e-07,7.1846809583010955,0.45836623610465854,1,0,2018
4,0.7829813957214355,3197.9859486818314,1574.357011608231,405,27.294342041015625,0.0002943622590012471,4.742756015334464,0.0,1,0,2018
8,0.850590169429779,3140.847665786743,1731.184565550421,92,15.729886054992676,-0.00015157447491150844,5.437529406582593,0.0,1,0,2018
23,0.8695030808448792,2795.4127666950226,2971.3633234594517,277,26.050580978393555,-0.00030155052729871563,8.465026287126431,0.0,1,0,2018
30,-0.17838557064533234,1514.4442123770714,90.0,0,0.0,0.0,11.071927526399296,0.8021409131831525,0,0,2018
31,-0.28833630681037903,1495.3387058377266,0.0,0,0.0,0.0,21.169352610580006,0.6302535746439055,0,0,2018
33,0.47129377722740173,1586.5696703791618,630.0,13,12.219764709472656,-0.0003544916460016053,5.696664785559647,0.5729577951308232,0,0,2018
34,0.7806912064552307,1595.074250638485,939.6275858019495,13,1.4053900241851807,-3.1813789824728244e-07,8.2573600336021,0.05729577951308232,1,0,2018
35,0.8004739880561829,2610.4260569810867,1731.184565550421,31,9.442842483520508,8.6935707832742e-05,5.509868919369104,0.0,1,0,2018
36,0.6426118016242981,2528.449198961258,90.0,52,3.954366683959961,2.5910653724662326e-07,5.90654596189726,0.31512678732195276,1,0,2018
38,0.7658542394638062,2464.549071073532,402.49223594996215,19,2.0613012313842773,1.6426671238078073e-06,7.488351172665635,0.5156620156177409,1,0,2018
42,0.8340083360671997,2492.5789284706116,270.0,136,14.190126419067383,-0.0009235262150547126,5.541994132919851,0.6589014644004466,1,0,2018
44,0.8681409358978271,2582.8597671985626,1571.782427691568,147,4.878024578094482,-2.478058525934003e-05,6.339435823896676,0.0,1,0,2018
46,0.8392191529273987,2897.943854570389,2818.8827574058487,652,27.552623748779297,-0.001435567475896922,5.476748037669649,0.0,1,0,2018
50,0.7760775089263916,1471.757991552353,1018.2337649086285,3,1.9112874269485474,7.036130477481935e-07,11.49463870714042,0.0,1,0,2018
51,0.6946515440940857,1477.1198045313358,1400.071426749364,7,2.171853542327881,-1.0279498405303678e-07,10.394637846736721,0.0,1,0,2018
54,-0.26935505867004395,1497.0901238024235,540.0,0,0.0,0.0,11.070215285237875,0.6302535746439055,0,0,2018
71,0.7948346734046936,2504.9956974983215,2817.4456516497353,653,15.173882484436035,0.00014489662914000207,9.161004194300846,0.0,1,0,2018
